Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2024,"Matt Waldron","SDP",146.2,90.62430275537635,,87.0350729413507,,,90.01586637415899,79.2860064722383,,,,,,77.58919958430816,"Matt Waldron",25550,663362
2017,"R.A. Dickey","ATL",190,83.61844422387296,,,,,,,,,65.94117647058823,,,77.27857315371404,"R.A. Dickey",1245,285079
2023,"Matt Waldron","SDP",41.1,91.28333404098731,,86.68408757990056,,,91.3194956269654,79.77778003833912,,,,,,76.59166666666667,"Matt Waldron",25550,663362
2014,"R.A. Dickey","TOR",215.2,81.77904100709607,,,,,,,,,65.6131846668956,,,76.50492272092211,"R.A. Dickey",1245,285079
2015,"R.A. Dickey","TOR",214.1,81.70388997395834,,,,,,,,,64.41153971354167,,,76.2262661733428,"R.A. Dickey",1245,285079
2016,"R.A. Dickey","TOR",169.2,82.29769338998052,,,,,,,,,64.83648516680744,,,76.11192495127733,"R.A. Dickey",1245,285079
2018,"Steven Wright","BOS",53.2,85.13333242910879,,,,,82.53428780691964,,67.30232558139535,,,,,75.93129563630042,"Steven Wright",8185,453214
2023,"George Kirby","SEA",190.2,96.11672380845324,,,84.852630436769,,95.80952380952381,86.25072363983813,,81.8401210455247,,86.59411381740196,,75.0999984741211,"George Kirby",25436,669923
2014,"Steven Wright","BOS",21,83.31132305793042,,,,,,,64.50277794731988,,,,,74.83579880532588,"Steven Wright",8185,453214
2015,"Steven Wright","BOS",72.2,83.32845846036585,,,,,,,67.0825141948429,,,,,74.61135500286697,"Steven Wright",8185,453214
2016,"Steven Wright","BOS",156.2,83.27309782608695,,,,,,,67.23625,,,,,74.29461181923523,"Steven Wright",8185,453214
2024,"George Kirby","SEA",191,96.0086426266137,,92.28182151100852,86.00298142591059,,96.04693072396576,87.20812188390313,,83.36460744598766,,,,73.9000015258789,"George Kirby",25436,669923
2017,"Steven Wright","BOS",24,83.93333082932692,,,,,,,64.47368421052632,,,,,73.61307061887256,"Steven Wright",8185,453214
2014,"Neftalí Feliz","TEX",31.2,93.17320750584112,,,,,91.64117790670956,83.50963620105422,,,,85.66065253586065,,,"Neftali Feliz",18,491703
2014,"Erik Bedard","TBR",75.2,88.0473297849764,,86.85217185642408,79.89119995117187,,88.21780827491796,,73.745171377592,,,72.47409756212349,,,"Erik Bedard",126,407853
2014,"Mark Buehrle","TOR",202,83.80686094702745,,80.1683009826031,,,83.87578951233843,,71.48902645729426,,,78.38778725349873,,,"Mark Buehrle",225,279824
2014,"Kyle Farnsworth","- - -",28.2,94.20879120879121,,90.5,,,91.84095284598214,84.93636363636364,77.19999694824219,,,88.31126726177376,,,"Kyle Farnsworth",278,150035
2014,"Bartolo Colon","NYM",202.1,90.69030191296729,,,,,87.68466528990025,82.3347804857337,,,,81.38224620931953,,,"Bartolo Colon",375,112526
2014,"CC Sabathia","NYY",46,89.42326732673267,,,,,88.168796875,80.96010261496114,78.03333536783855,,,83.23533203125,,,"CC Sabathia",404,282332
2014,"Fernando Rodney","SEA",66.1,95.66060754024622,,,,,94.77222982216142,,,,,82.36366087147887,,,"Fernando Rodney",494,407845
2014,"Josh Beckett","LAD",115.2,91.57337314415709,,89.32413456357759,,,91.84573340600775,,73.12102697649573,,,85.46611585115132,,,"Josh Beckett",510,277417
2014,"A.J. Burnett","PHI",213.2,91.6709954994929,,,,,91.60637555803571,,,81.61029654489437,,86.114013671875,,,"A.J. Burnett",512,150359
2014,"Jason Grilli","- - -",54,93.05163550698458,,,,,92.99189057221284,82.1230283911672,,,,84.59245213922465,,,"Jason Grilli",521,276351
2014,"Brad Penny","MIA",26,92.18014526367188,,89.21666971842448,85.42954323508523,,91.07914334057487,,79.45599934895833,,,,,,"Brad Penny",535,207267
2014,"Jeremy Affeldt","SFG",55.1,,,,,,91.51256913716814,,75.25612344547194,,,87.29999724911971,,,"Jeremy Affeldt",583,346793
2014,"Jamey Wright","LAD",70.1,92.22500610351562,,87.87449478729727,,,90.52818221751328,82.59062337875366,78.16559285855075,,,83.23365196814903,,,"Jamey Wright",715,124604
2014,"Grant Balfour","TBR",62.1,91.57011365968802,,90.4937515258789,,,91.713330078125,84.67807131761695,80.91553208434466,,,87.57499694824219,,,"Grant Balfour",718,346797
2014,"LaTroy Hawkins","COL",54.1,93.13184560643565,,,,,92.87143380301339,87.75833037405303,78.22307692307692,,,83.28888617621527,,,"LaTroy Hawkins",729,115629
2014,"Kyle Lohse","MIL",198.1,89.07575757575758,,,,,89.38927904862175,83.68928797914317,74.54540607590529,,,79.08926599312828,,,"Kyle Lohse",739,346798
2014,"Bruce Chen","KCR",48.1,85.89277226091868,,,,,83.67222183469742,81.25650557620818,73.09324357316301,,69.09393865411931,75.25751410590277,,,"Bruce Chen",769,136600
2014,"Scott Downs","- - -",38,,,,,,86.88133640552995,80.46822521174066,73.04097323947482,,,,,,"Scott Downs",773,275933
2014,"Randy Choate","STL",36,84.34000244140626,,,,,84.45985243055556,74.79050279329608,,,,,,,"Randy Choate",813,329092
2014,"Scott Carroll","CHW",129.1,89.57046123798077,,86.55409019998035,,,89.61316967321817,81.83492218501983,76.67999702065678,,,82.44782891757247,,,"Scott Carroll",888,453222
2014,"Tim Hudson","SFG",189.1,89.21658397511848,,83.53682415674604,80.86377189009661,,88.93348702185793,,75.5880817819149,,,,,,"Tim Hudson",921,218596
