Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2014,"Joaquín Benoit","SDP",54.1,0.34210526,,,,,0.1641604,0.1716792,,,,0.32205514,,,,"Joaquin Benoit",1437,276542
2014,"Aaron Harang","ATL",204.1,0.37140314,,,,,0.28834174,0.17947197,0.10323346,,,0.05754969,,,,"Aaron Harang",1451,421685
2014,"Felix Doubront","- - -",79.2,0.40367647,,0.12573529,,,0.17279412,,0.10147059,,,0.19632353,,,,"Felix Doubront",1478,467094
2014,"John Lackey","- - -",198,0.50260756,,0.226206,,,0.13200782,,0.11082138,,,0.02835724,,,,"John Lackey",1507,407793
2014,"Oliver Pérez","ARI",58.2,0.41928934,,,,,0.21015228,0.37055838,,,,,,,,"Oliver Perez",1514,424144
2014,"Sean Doolittle","OAK",62.2,0.86637459,,,,,0.00876232,,0.11500548,,,0.00985761,,,,"Sean Doolittle",1581,448281
2014,"Cliff Lee","PHI",81.1,0.21933962,,0.14386792,,,0.35141509,0.02279874,0.05660377,,,0.20597484,,,,"Cliff Lee",1636,424324
2014,"Francisco Rodríguez","MIL",68,0.24256951,,,,,0.3096836,,0.15723873,,,0.29050815,,,,"Francisco Rodriguez",1642,408061
2014,"Javier López","SFG",37.2,,,,,,0.70557491,0.16550523,0.06271777,,,0.06620209,,,,"Javier Lopez",1663,425657
2014,"Chris Capuano","- - -",97.1,,,,,,0.43953346,0.20626151,0.07857581,,,0.27562922,,,,"Chris Capuano",1701,425626
2014,"Jose Valverde","NYM",20.2,0.75900277,,,0.24099723,,,,,,,,,,,"Jose Valverde",1726,407878
2014,"Dan Haren","LAD",186,0.26553856,,0.38984705,0.15034169,,0.09111617,,,0.10315652,,,,,,"Dan Haren",1757,429717
2014,"Kevin Correia","- - -",154,0.20206842,,0.05171042,,,0.12649165,0.30548926,0.16785998,,,0.14638027,,,,"Kevin Correia",1767,429781
