Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2019,"Marco Estrada","OAK",4.1830997152999325,3.042254338399951,1.375,2.6619725460999573,0.10377358,0.0754717,0.02830189,0.24210526315789474,1.30985950681109,0.2077922077922078,0.61983471,153.93444917271393,167.97503433225634,180.6978763816284,6.84507226139989,7.523869788441272,-0.6787975270413815,8.30160197655886,7.286938364527444,"Marco Estrada",1118,462136
2019,"Eric Skoglund","KCR",1.7142857142857142,3.857142857142857,0.44444444,2.142857142857143,0.03960396,0.08910891,-0.04950495,0.32967032967032966,1.8571428571428572,0.3048780487804878,0.57575758,190.764116872193,163.01153685888843,169.10599507111812,9,7.356866618565151,1.6431333814348488,7.76641983914943,7.262679589290007,"Eric Skoglund",16155,607215
2024,"Nick Nastrini","CHW",6.560747955926019,9.084112554359104,0.72222222,1.766355218903159,0.14942529,0.20689655,-0.05747126,0.23357664233576642,1.9065421410383305,0.2403846153846154,0.60810811,174.45808252401574,175.55859246877154,181.3592006284612,7.065420875612636,7.372087442344936,-0.3066665667323001,7.3642511160138096,7.182650357570814,"Nick Nastrini",29833,680897
2023,"Brad Keller","KCR",6.154412455212364,8.933824531759882,0.68888889,0.5955883021173255,0.14691943,0.21327014,-0.06635071,0.25766871165644173,1.919117862378049,0.3023255813953488,0.74592075,101.96583615762528,138.19895321314343,149.72788212479614,4.566176982899496,5.924158306022862,-1.3579813231233668,6.413291042434896,7.108540711799438,"Brad Keller",15734,641745
2020,"Mitch Keller","PIT",6.646152871036108,7.4769219799156215,0.88888889,1.661538217759027,0.18390805,0.20689655,-0.02298851,0.1323529411764706,1.2461536633192702,0.10416666666666667,0.9375,64.99788014774643,150.10178773438307,147.17974880062792,2.9076918810782972,6.745264947767165,-3.8375730666888677,6.570205407549992,6.937590775062163,"Mitch Keller",17594,656605
2017,"Jimmy Yacabonis","BAL",3.4838710749186568,6.096774381107649,0.57142857,0.8709677687296642,0.08888889,0.15555556,-0.06666667,0.23684210526315788,1.548387144408292,0.24242424242424243,0.75342466,97.78613241537707,123.79104234583494,151.66030610307357,4.354838843648321,5.673768803877342,-1.3189299602290214,6.653557403692668,6.673345683246524,"Jimmy Yacabonis",15157,642231
2018,"Stephen Gonsalves","MIN",5.83783934253985,8.027029095992294,0.72727273,0.7297299178174812,0.13114754,0.18032787,-0.04918033,0.2828282828282828,2.0270275494930035,0.32098765432098764,0.60165975,152.4188270103234,134.76307505665682,147.62220619569226,6.567569260357331,5.714486288136331,0.8530829722210003,6.267409228821743,6.5854399878695,"Stephen Gonsalves",15492,624427
2021,"A.J. Alexy","TEX",6.652174464696342,6.652174464696342,1,1.5652175211050217,0.17525773,0.17525773,0,0.16455696202531644,1.3043479342541848,0.15517241379310345,0.7480315,108.28926856970861,144.35061230640707,151.09381948460762,4.695652563315065,6.300469164677084,-1.6048166013620193,6.4943643134017774,6.56397615875928,"A.J. Alexy",22343,669935
2017,"Julio Urías","LAD",4.242857720900634,5.400000735691716,0.78571429,0.385714338263694,0.10784314,0.1372549,-0.02941176,0.26436781609195403,1.585714501750742,0.29333333333333333,0.6284153,130.2630755116721,110.67337239044141,136.24682282473717,5.400000735691716,4.700497047268644,0.6995036884230723,5.896749133516645,6.514087202637487,"Julio Urias",14765,628711
2020,"Ryan Castellani","COL",5.19230693049696,5.399999207716838,0.96153846,2.4923073266385405,0.13227513,0.13756614,-0.00529101,0.23417721518987342,1.4538459405391486,0.2066115702479339,0.7421875,113.37220055622068,164.89337781523696,150.52567609571776,5.8153837621565945,7.783726333866557,-1.9683425717099627,6.720158584784285,6.486958687479558,"Ryan Castellani",16377,624418
2017,"Jarred Cosart","SDP",5.624998672865645,7.12499831896315,0.78947368,0,0.13157895,0.16666667,-0.03508772,0.27956989247311825,1.8749995576218814,0.3333333333333333,0.68085106,115.78524514655781,105.722329163772,142.38574054855889,4.874998849816892,4.532639369803246,0.3423594800136458,6.163211425817721,6.4839618408615225,"Jarred Cosart",10304,543054
2021,"Nick Neidert","MIA",5.2990657983987255,5.803738731579556,0.91304348,1.009345866361662,0.13375796,0.14649682,-0.01273885,0.24031007751937986,1.514018799542493,0.25961538461538464,0.76779026,107.74390597824019,139.30326368912546,158.8367590688997,4.542056398627479,5.805548329078047,-1.2634919304505683,6.722073125538978,6.468875801461867,"Nick Neidert",18699,663734
2014,"Mike Pelfrey","MIN",3.802817922999939,6.84507226139989,0.55555556,1.9014089614999694,0.08403361,0.1512605,-0.06722689,0.29292929292929293,1.9859160264555236,0.2857142857142857,0.61904762,205.30309406374997,197.65669794790216,172.15578487822967,7.985917638299871,7.568873078821991,0.41704455947788066,6.545772125625599,6.45483530292145,"Mike Pelfrey",5203,460059
2015,"Tyler Matzek","COL",6.136363636363637,7.7727272727272725,0.78947368,0.8181818181818182,0.14705882,0.18627451,-0.03921569,0.2625,1.8181818181818181,0.30158730158730157,0.82089552,90.48899362907315,143.26928201267842,163.86251601081943,4.090909090909091,5.9517755681818185,-1.8608664772727277,6.3797836124897005,6.44758894253413,"Tyler Matzek",10058,554431
2019,"Wes Parsons","- - -",6.749999938102869,7.528846084807046,0.89655172,1.5576922934083546,0.1656051,0.18471338,-0.01910828,0.25396825396825395,1.759615368479808,0.2765957446808511,0.71428571,112.89675475638967,146.72558515539836,135.6874957863617,5.451923026929241,6.6467017519227145,-1.1947787249934736,6.003368047091975,6.379590736194575,"Wes Parsons",14764,641149
2022,"Luis Patiño","TBR",4.950000472068831,5.850000557899528,0.84615385,2.70000025749209,0.1122449,0.13265306,-0.02040816,0.30952380952380953,1.9500001859665095,0.29850746268656714,0.69620253,216.6227983373392,210.66604598586238,174.85132990875388,8.10000077247627,8.012431468963669,0.08756930351260017,6.851114755534768,6.3543273841448285,"Luis Patino",22815,672715
2018,"Chris Tillman","BAL",4.387501046061765,5.7375013679269244,0.76470588,2.0250004827977377,0.09489051,0.12408759,-0.02919708,0.3559322033898305,2.212500527501232,0.36363636363636365,0.5513308,244.86774273399902,163.8531625838234,151.40040226143083,10.462502494454979,7.247932550311321,3.2145699441436575,6.428741605102427,6.3417829777090615,"Chris Tillman",5279,501957
2017,"Chase De Jong","SEA",4.129411394059898,4.129411394059898,1,1.588235151561499,0.104,0.104,0,0.2767857142857143,1.5529410370823546,0.2765957446808511,0.64864865,151.05914549166843,137.247478129327,149.6865562157913,6.352940606245996,5.9105806235871325,0.44235998265886334,6.567188660592004,6.326502088735432,"Chase De Jong",15036,608328
2023,"Daniel Bard","COL",8.57432587134596,8.939190802041534,0.95918367,0.912162326738932,0.20258621,0.2112069,-0.00862069,0.2,1.702703009912673,0.24390243902439024,0.72941176,92.26807849332691,133.62204696211566,154.31689143812554,4.56081163369466,6.133419257206589,-1.5726076235119297,6.759657243082799,6.29758131327741,"Daniel Bard",7115,453268
2018,"Tyler Chatwood","CHC",7.379420452484991,8.24758756454205,0.89473684,0.781350400851352,0.17489712,0.19547325,-0.02057613,0.23958333333333334,1.8038583328296645,0.28620689655172415,0.72767365,132.7381037442271,139.7638372895423,142.11032844243445,5.295819383548053,5.600945790779987,-0.30512640723193396,5.762818664073068,6.283609082260895,"Tyler Chatwood",4338,543022
2019,"Shelby Miller","TEX",6.136364567378477,5.931819081799194,1.03448276,1.6363638846342605,0.13636364,0.13181818,0.00454546,0.30851063829787234,1.977273027266398,0.3333333333333333,0.55837563,170.47195795513008,133.9143038164593,147.95605544886806,8.590910394329867,6.3958281402746255,2.195082254055242,6.789954536416106,6.269084762989849,"Shelby Miller",10197,571946
2018,"Brett Cecil","STL",5.234696118944803,6.8877580512431615,0.76,1.3775516102486323,0.12101911,0.15923567,-0.03821656,0.29545454545454547,1.9591845123536105,0.3148148148148148,0.64912281,177.14722134864124,158.09689354949214,159.58798664431941,6.8877580512431615,6.282881892338713,0.6048761589044487,6.467150824885193,6.228310779928125,"Brett Cecil",2660,446399
