Season,Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
2020,"Junior Guerra","ARI",23.2,1.4693720005452633,,,-0.5143915861845016,,4.383648242801428,,-1.0736192725598812,,,,,,"Junior Guerra",5702,448855
2020,"Trevor Cahill","SFG",25,2.0496431216597557,,-0.65329634770751,,,-2.764036748558283,,,3.6937424018979073,,-0.05847134441137314,,,"Trevor Cahill",6249,502239
2020,"David Phelps","- - -",20.2,0.48259319737553596,,-2.817071281373501,,,0.0017835795879364014,,,2.418073419481516,,,,,"David Phelps",6316,475479
2020,"Trevor May","MIN",23.1,-2.4839518032968044,,,,,0.48967915028333664,3.2459112033247948,,,,1.0787943229079247,,,"Trevor May",6398,543507
2020,"José Cisnero","DET",29.2,0.519304446876049,,,,,-0.2648680917918682,4.127840477973223,,,,2.2259472645819187,,,"Jose Cisnero",6399,542585
2020,"Steve Cishek","CHW",20,0.5934241414070129,,,,,-5.792800981551409,2.916605371981859,,,,-0.8247678875923157,,,"Steve Cishek",6483,518553
2020,"Alex Cobb","BAL",52.1,0.5321125462651253,,,2.6948434971272945,,-5.378852222114801,,,1.9888174310326576,,,,,"Alex Cobb",6562,502171
2020,"Carlos Carrasco","CLE",68,2.8635507449507713,,,,,-3.2240829318761826,3.7019341327250004,2.2227244079113007,,,3.4530127309262753,,,"Carlos Carrasco",6632,471911
2020,"Alex Colomé","CHW",22.1,0.8457759618759155,,6.200570497661829,,,,,,,,,,,"Alex Colome",6661,517008
2020,"Julio Teheran","LAA",31.1,-9.514858350157738,,0.28123024106025696,,,3.702251363545656,-4.667391508817673,1.5466342754662037,,,-4.898648522794247,,,"Julio Teheran",6797,527054
2020,"Johnny Cueto","SFG",63.1,-5.790416017174721,,,,,0.4918113686144352,-0.6883879713714123,-1.6153218410909176,0.43170156702399254,,7.655263762921095,,,"Johnny Cueto",6893,456501
2020,"Chase Anderson","TOR",33.2,-8.317332662642002,,-0.8272935263812542,,,-0.9185477197170258,,-2.2606642805039883,,,1.3273505605757236,,,"Chase Anderson",6895,502624
2020,"Martín Pérez","BOS",62,-1.3405857123434544,,3.1287601701915264,,,0.908857736736536,,-1.5110828056931496,,,-0.3721332624554634,,,"Martin Perez",6902,527048
2020,"Joakim Soria","OAK",22.1,1.9134989902377129,,0.20440536737442017,,,0.0740254819393158,0.012763936072587967,-0.29372524470090866,,,2.601608533412218,,,"Joakim Soria",6941,465657
2020,"Ryan Pressly","HOU",21,-0.8619342967867851,,,,,,3.5960555225610733,-2.054716970771551,,,,,,"Ryan Pressly",7005,519151
2020,"Daniel Bard","COL",24.2,1.3970292210578918,,,,,-0.35296428948640823,1.814034879207611,,,,0.8314324431121349,,,"Daniel Bard",7115,453268
2020,"Daniel Hudson","WSN",20.2,1.9353227354586124,,,,,,-3.428422637283802,0.20314233750104904,,,0.6329861581325531,,,"Daniel Hudson",7146,543339
2020,"Greg Holland","KCR",28.1,2.687690731137991,,,,,,5.939087711274624,-1.1980101019144058,,,-0.024000927805900574,,,"Greg Holland",7196,518813
2020,"Craig Stammen","SDP",24,0.30422377213835716,,1.1450915038585663,,,-1.4264933802187443,,,0.7240925617516041,,0.8262546248733997,,,"Craig Stammen",7274,489334
2020,"J.A. Happ","NYY",49.1,0.536118607968092,,,,,6.881789471954107,0.5908373668789864,-0.7735046222805977,,,0.4609147906303406,,,"J.A. Happ",7410,457918
2020,"Gio González","CHW",31.2,-5.376651745289564,,,,,-4.608083434402943,-0.5470859184861183,0.33473190665245056,,,2.1287977509200573,,,"Gio Gonzalez",7448,461829
2020,"Jake McGee","LAD",20.1,4.587413709610701,,,,,-0.11175845563411713,0.18728293478488922,,,,,,,"Jake McGee",7550,459429
2020,"Nick Vincent","MIA",22.1,-0.709369596093893,,-0.2547229304909706,,,0.2897039093077183,0.45318079367280006,,,,-0.29426398128271103,,,"Nick Vincent",7555,543883
2020,"Jordan Lyles","TEX",57.2,-10.552838888019323,,,,,0.3088923245668411,2.8205770179629326,-2.512692742049694,,,-2.1200620979070663,,,"Jordan Lyles",7593,543475
2020,"Tommy Milone","- - -",39,0.5341231562197208,,,,,-1.2196726948022842,-1.3460384272038937,-1.0383022278547287,,,-9.110262472182512,,,"Tommy Milone",7608,543548
