Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2021,"Josh Rogers","WSN",35.2,0.23346304,0.70652174,0.47842402,0.51666667,0.91282051,0.81960784,0.51782364,20.16622691,"Josh Rogers",18510,642028
2018,"Chad Bettis","COL",120.1,0.20801733,0.63663664,0.43080125,0.578125,0.87735849,0.80797101,0.51977107,20.16571835,"Chad Bettis",10587,518452
2020,"Rich Hill","MIN",38.2,0.25,0.57798165,0.42326333,0.78082192,0.87301587,0.84732824,0.52827141,20.16483516,"Rich Hill",4806,448179
2023,"Ian Gibaut","CIN",75.2,0.29945554,0.69381599,0.51482702,0.56969697,0.82608696,0.7584,0.5461285,20.15824916,"Ian Gibaut",17871,664139
2024,"Fernando Cruz","CIN",66.2,0.31382114,0.63757116,0.46322242,0.36787565,0.78571429,0.63327032,0.4614711,20.15801887,"Fernando Cruz",7048,518585
2015,"James Paxton","SEA",67,0.22003578,0.60146252,0.40867993,0.59349593,0.90881459,0.82300885,0.49457505,20.15617128,"James Paxton",11828,572020
2018,"Danny Duffy","KCR",155,0.25844347,0.65392781,0.45981982,0.61931818,0.8538961,0.78918495,0.50918919,20.15366089,"Danny Duffy",3542,518633
2018,"Steven Wright","BOS",53.2,0.25783133,0.62591687,0.44053398,0.70093458,0.83203125,0.79338843,0.49635922,20.1512605,"Steven Wright",8185,453214
2022,"Germán Márquez","COL",181.2,0.28343465,0.67629678,0.49418809,0.50938338,0.89514563,0.79258731,0.5364565,20.1503428,"German Marquez",15038,608566
2018,"Aníbal Sánchez","ATL",136.2,0.28033866,0.63370998,0.45694118,0.59731544,0.84546805,0.76930999,0.49976471,20.14075496,"Anibal Sanchez",3284,434671
2018,"Gio González","- - -",171,0.24751861,0.63532764,0.4280504,0.60651629,0.84977578,0.77459334,0.46551724,20.14044444,"Gio Gonzalez",7448,461829
2024,"Dennis Santana","- - -",71.2,0.32245681,0.66666667,0.50495942,0.52380952,0.83928571,0.74464286,0.53020739,20.13902439,"Dennis Santana",17878,642701
2017,"Marco Gonzales","- - -",40,0.25574713,0.66288952,0.46077033,0.60674157,0.87606838,0.80185759,0.50356633,20.13840156,"Marco Gonzales",15467,594835
2020,"Tyler Webb","STL",21.2,0.26451613,0.7382199,0.52601156,0.68292683,0.81560284,0.78571429,0.55202312,20.1372549,"Tyler Webb",14974,643778
2019,"Alex Wood","CIN",35.2,0.30194805,0.67625899,0.47952218,0.61290323,0.85638298,0.77580071,0.47440273,20.1372093,"Alex Wood",13781,622072
2024,"Garrett Cleavinger","TBR",60,0.29411765,0.65725047,0.47637051,0.48387097,0.8252149,0.7202381,0.50189036,20.13544304,"Garrett Cleavinger",17897,664076
2023,"Jimmy Herget","LAA",29,0.22897196,0.6440678,0.46954813,0.48979592,0.88421053,0.80334728,0.57956778,20.13506494,"Jimmy Herget",17556,623474
2024,"Jeremiah Estrada","SDP",61,0.34177215,0.70888469,0.53539382,0.40123457,0.77333333,0.66108007,0.52741775,20.12985274,"Jeremiah Estrada",22210,669093
2018,"Kyle Hendricks","CHC",199,0.28541076,0.57405141,0.44024951,0.6674938,0.84221748,0.78970917,0.53644123,20.12872629,"Kyle Hendricks",12049,543294
2019,"José Ureña","MIA",84.2,0.30277778,0.68251534,0.48323615,0.64220183,0.87640449,0.79939668,0.47521866,20.12361809,"Jose Urena",11589,570632
2014,"Cliff Lee","PHI",81.1,0.29074074,0.58060109,0.45754717,0.63057325,0.90352941,0.82989691,0.5754717,20.12331839,"Cliff Lee",1636,424324
2023,"David Bednar","PIT",67.1,0.34581105,0.74264706,0.54117647,0.5257732,0.77722772,0.69565217,0.49230769,20.1185006,"David Bednar",19569,670280
2018,"Brad Keller","KCR",140.1,0.26572188,0.65276519,0.45698925,0.59,0.89027778,0.80196078,0.49417563,20.11635028,"Brad Keller",15734,641745
